confidence_factor,number_of_bins,accuracy
0.5,03,53.3898
0.5,04,53.3898
0.5,05,53.3898
0.5,06,53.3898
0.5,07,53.3898
0.5,08,53.3898
0.5,09,53.3898
0.5,10,53.3898
0.5,11,53.3898
0.5,12,53.3898
0.5,13,53.3898
0.5,14,53.3898
0.5,15,53.3898
0.5,16,53.3898
0.5,17,53.3898
0.5,18,53.3898
0.5,19,53.3898
0.5,20,53.3898
