missing_percentage,confidence_factor,correctly_classified,accuracy
15.0,0.350,1127,59.6928
15.0,0.375,1137,60.2225
15.0,0.3,1100,58.2627
15.0,0.425,1173,62.1292
15.0,0.45,1175,62.2352
15.0,0.475,1178,62.3941
15.0,0.4,1158,61.3347
15.0,0.5,1178,62.3941
17.5,0.025,888,47.0339
17.5,0.05,930,49.2585
17.5,0.075,930,49.2585
17.5,0.125,930,49.2585
17.5,0.150,933,49.4174
17.5,0.175,933,49.4174
17.5,0.1,930,49.2585
17.5,0.225,1014,53.7076
17.5,0.25,991,52.4894
17.5,0.275,1071,56.7267
17.5,0.2,933,49.4174
17.5,0.325,1120,59.322
17.5,0.350,1127,59.6928
17.5,0.375,1156,61.2288
17.5,0.3,1084,57.4153
17.5,0.425,1180,62.5
17.5,0.45,1182,62.6059
17.5,0.475,1187,62.8708
17.5,0.4,1163,61.5996
17.5,0.5,1187,62.8708
20.0,0.025,888,47.0339
20.0,0.05,925,48.9936
20.0,0.075,927,49.0996
20.0,0.125,927,49.0996
20.0,0.150,927,49.0996
20.0,0.175,927,49.0996
20.0,0.1,927,49.0996
20.0,0.225,975,51.6419
20.0,0.25,983,52.0657
20.0,0.275,1068,56.5678
20.0,0.2,927,49.0996
20.0,0.325,1127,59.6928
20.0,0.350,1129,59.7987
20.0,0.375,1159,61.3877
20.0,0.3,1110,58.7924
20.0,0.425,1166,61.7585
20.0,0.45,1177,62.3411
20.0,0.475,1177,62.3411
20.0,0.4,1159,61.3877
20.0,0.5,1177,62.3411
22.5,0.025,933,49.4174
22.5,0.05,936,49.5763
22.5,0.075,936,49.5763
22.5,0.125,936,49.5763
22.5,0.150,936,49.5763
22.5,0.175,936,49.5763
22.5,0.1,936,49.5763
22.5,0.225,985,52.1716
22.5,0.25,988,52.3305
22.5,0.275,988,52.3305
22.5,0.2,982,52.0127
22.5,0.325,1119,59.2691
22.5,0.350,1130,59.8517
22.5,0.375,1145,60.6462
22.5,0.3,1093,57.8919
22.5,0.425,1163,61.5996
22.5,0.45,1165,61.7055
22.5,0.475,1168,61.8644
22.5,0.4,1159,61.3877
22.5,0.5,1168,61.8644
25.0,0.025,888,47.0339
25.0,0.05,888,47.0339
25.0,0.075,922,48.8347
25.0,0.125,924,48.9407
25.0,0.150,924,48.9407
25.0,0.175,928,49.1525
25.0,0.1,924,48.9407
25.0,0.225,982,52.0127
25.0,0.25,1069,56.6208
25.0,0.275,1084,57.4153
25.0,0.2,957,50.6886
25.0,0.325,1125,59.5869
25.0,0.350,1130,59.8517
25.0,0.375,1145,60.6462
25.0,0.3,1112,58.8983
25.0,0.425,1175,62.2352
25.0,0.45,1175,62.2352
25.0,0.475,1178,62.3941
25.0,0.4,1169,61.9174
25.0,0.5,1178,62.3941
2.5,0.025,940,49.7881
2.5,0.05,941,49.8411
2.5,0.075,941,49.8411
2.5,0.125,941,49.8411
2.5,0.150,943,49.947
2.5,0.175,943,49.947
2.5,0.1,941,49.8411
2.5,0.225,992,52.5424
2.5,0.25,1085,57.4682
2.5,0.275,1094,57.9449
2.5,0.2,977,51.7479
2.5,0.325,1124,59.5339
2.5,0.350,1142,60.4873
2.5,0.375,1154,61.1229
2.5,0.3,1124,59.5339
2.5,0.425,1175,62.2352
2.5,0.45,1182,62.6059
2.5,0.475,1193,63.1886
2.5,0.4,1170,61.9703
2.5,0.5,1193,63.1886
27.5,0.025,888,47.0339
27.5,0.05,888,47.0339
27.5,0.075,919,48.6758
27.5,0.125,919,48.6758
27.5,0.150,921,48.7818
27.5,0.175,921,48.7818
27.5,0.1,919,48.6758
27.5,0.225,947,50.1589
27.5,0.25,981,51.9597
27.5,0.275,1028,54.4492
27.5,0.2,946,50.1059
27.5,0.325,1102,58.3686
27.5,0.350,1115,59.0572
27.5,0.375,1140,60.3814
27.5,0.3,1073,56.8326
27.5,0.425,1156,61.2288
27.5,0.45,1158,61.3347
27.5,0.475,1166,61.7585
27.5,0.4,1152,61.0169
27.5,0.5,1170,61.9703
30.0,0.025,888,47.0339
30.0,0.05,888,47.0339
30.0,0.075,888,47.0339
30.0,0.125,921,48.7818
30.0,0.150,921,48.7818
