noise_percentage,confidence_factor,correctly_classified,accuracy
08.800,0.5,1158,61.3347
08.850,0.025,803,42.5318
08.850,0.05,850,45.0212
08.850,0.075,855,45.286
08.850,0.125,855,45.286
08.850,0.150,855,45.286
08.850,0.175,916,48.5169
08.850,0.1,855,45.286
08.850,0.225,917,48.5699
08.850,0.25,931,49.3114
08.850,0.275,1058,56.0381
08.850,0.2,916,48.5169
08.850,0.325,1081,57.2564
08.850,0.350,1086,57.5212
08.850,0.375,1093,57.8919
08.850,0.3,1062,56.25
08.850,0.425,1129,59.7987
08.850,0.45,1140,60.3814
08.850,0.475,1140,60.3814
08.850,0.4,1106,58.5805
08.850,0.5,1146,60.6992
08.900,0.025,813,43.0614
08.900,0.05,864,45.7627
08.900,0.075,865,45.8157
08.900,0.125,865,45.8157
08.900,0.150,867,45.9216
08.900,0.175,867,45.9216
08.900,0.1,865,45.8157
08.900,0.225,921,48.7818
08.900,0.25,975,51.6419
08.900,0.275,994,52.6483
08.900,0.2,921,48.7818
08.900,0.325,1062,56.25
08.900,0.350,1071,56.7267
08.900,0.375,1096,58.0508
08.900,0.3,997,52.8072
08.900,0.425,1119,59.2691
08.900,0.45,1130,59.8517
08.900,0.475,1130,59.8517
08.900,0.4,1108,58.6864
08.900,0.5,1133,60.0106
08.950,0.025,819,43.3792
08.950,0.05,865,45.8157
08.950,0.075,865,45.8157
08.950,0.125,872,46.1864
08.950,0.150,872,46.1864
08.950,0.175,898,47.5636
08.950,0.1,872,46.1864
08.950,0.225,910,48.1992
08.950,0.25,910,48.1992
08.950,0.275,1026,54.3432
08.950,0.2,905,47.9343
08.950,0.325,1062,56.25
08.950,0.350,1065,56.4089
08.950,0.375,1069,56.6208
08.950,0.3,1050,55.6144
08.950,0.425,1095,57.9979
08.950,0.45,1102,58.3686
08.950,0.475,1107,58.6335
08.950,0.4,1075,56.9386
08.950,0.5,1116,59.1102
09.000,0.025,809,42.8496
09.000,0.05,861,45.6038
09.000,0.075,861,45.6038
09.000,0.125,861,45.6038
09.000,0.150,863,45.7097
09.000,0.175,863,45.7097
09.000,0.1,861,45.6038
09.000,0.225,917,48.5699
09.000,0.25,935,49.5233
09.000,0.275,966,51.1653
09.000,0.2,864,45.7627
09.000,0.325,1056,55.9322
09.000,0.350,1096,58.0508
09.000,0.375,1104,58.4746
09.000,0.3,1042,55.1907
09.000,0.425,1129,59.7987
09.000,0.45,1134,60.0636
09.000,0.475,1134,60.0636
09.000,0.4,1118,59.2161
09.000,0.5,1134,60.0636
09.050,0.025,815,43.1674
09.050,0.05,863,45.7097
09.050,0.075,865,45.8157
09.050,0.125,867,45.9216
09.050,0.150,869,46.0275
09.050,0.175,869,46.0275
09.050,0.1,867,45.9216
09.050,0.225,910,48.1992
09.050,0.25,1013,53.6547
09.050,0.275,1035,54.8199
09.050,0.2,869,46.0275
09.050,0.325,1087,57.5742
09.050,0.350,1093,57.8919
09.050,0.375,1105,58.5275
09.050,0.3,1044,55.2966
09.050,0.425,1115,59.0572
09.050,0.45,1131,59.9047
09.050,0.475,1131,59.9047
09.050,0.4,1113,58.9513
09.050,0.5,1142,60.4873
09.100,0.025,820,43.4322
09.100,0.05,867,45.9216
09.100,0.075,867,45.9216
09.100,0.125,872,46.1864
09.100,0.150,872,46.1864
09.100,0.175,872,46.1864
09.100,0.1,872,46.1864
09.100,0.225,932,49.3644
09.100,0.25,932,49.3644
09.100,0.275,938,49.6822
09.100,0.2,873,46.2394
09.100,0.325,1076,56.9915
09.100,0.350,1081,57.2564
09.100,0.375,1091,57.786
09.100,0.3,1063,56.303
09.100,0.425,1115,59.0572
09.100,0.45,1123,59.4809
09.100,0.475,1126,59.6398
09.100,0.4,1113,58.9513
09.100,0.5,1135,60.1165
09.150,0.025,812,43.0085
09.150,0.05,866,45.8686
09.150,0.075,867,45.9216
09.150,0.125,867,45.9216
09.150,0.150,867,45.9216
09.150,0.175,881,46.6631
09.150,0.1,867,45.9216
09.150,0.225,929,49.2055
09.150,0.25,935,49.5233
09.150,0.275,950,50.3178
09.150,0.2,881,46.6631
09.150,0.325,1038,54.9788
09.150,0.350,1062,56.25
09.150,0.375,1076,56.9915
09.150,0.3,1035,54.8199
09.150,0.425,1104,58.4746
09.150,0.45,1113,58.9513
09.150,0.475,1120,59.322
09.150,0.4,1098,58.1568
09.150,0.5,1120,59.322
09.200,0.025,805,42.6377
09.200,0.05,855,45.286
09.200,0.075,857,45.3919
09.200,0.125,857,45.3919
09.200,0.150,857,45.3919
09.200,0.175,857,45.3919
09.200,0.1,857,45.3919
09.200,0.225,927,49.0996
09.200,0.25,940,49.7881
09.200,0.275,941,49.8411
09.200,0.2,927,49.0996
09.200,0.325,1079,57.1504
09.200,0.350,1089,57.6801
09.200,0.375,1096,58.0508
09.200,0.3,1065,56.4089
09.200,0.425,1114,59.0042
09.200,0.45,1118,59.2161
09.200,0.475,1120,59.322
09.200,0.4,1104,58.4746
09.200,0.5,1120,59.322
09.250,0.025,815,43.1674
09.250,0.05,871,46.1335
09.250,0.075,871,46.1335
09.250,0.125,889,47.0869
09.250,0.150,891,47.1928
09.250,0.175,895,47.4047
09.250,0.1,875,46.3453
09.250,0.225,897,47.5106
09.250,0.25,964,51.0593
09.250,0.275,964,51.0593
09.250,0.2,896,47.4576
09.250,0.325,1079,57.1504
09.250,0.350,1102,58.3686
09.250,0.375,1109,58.7394
09.250,0.3,1054,55.8263
09.250,0.425,1146,60.6992
09.250,0.45,1153,61.0699
09.250,0.475,1153,61.0699
09.250,0.4,1124,59.5339
09.250,0.5,1153,61.0699
09.300,0.025,881,46.6631
09.300,0.05,882,46.7161
09.300,0.075,882,46.7161
09.300,0.125,882,46.7161
09.300,0.150,884,46.822
09.300,0.175,953,50.4767
09.300,0.1,882,46.7161
09.300,0.225,955,50.5826
09.300,0.25,981,51.9597
09.300,0.275,988,52.3305
09.300,0.2,955,50.5826
09.300,0.325,1092,57.839
09.300,0.350,1107,58.6335
09.300,0.375,1125,59.5869
09.300,0.3,1000,52.9661
09.300,0.425,1131,59.9047
09.300,0.45,1146,60.6992
09.300,0.475,1146,60.6992
09.300,0.4,1129,59.7987
09.300,0.5,1146,60.6992
09.350,0.025,813,43.0614
09.350,0.05,860,45.5508
09.350,0.075,860,45.5508
09.350,0.125,868,45.9746
09.350,0.150,868,45.9746
09.350,0.175,868,45.9746
09.350,0.1,860,45.5508
09.350,0.225,962,50.9534
09.350,0.25,984,52.1186
09.350,0.275,1050,55.6144
09.350,0.2,959,50.7945
09.350,0.325,1069,56.6208
09.350,0.350,1075,56.9386
09.350,0.375,1102,58.3686
09.350,0.3,1057,55.9852
09.350,0.425,1130,59.8517
09.350,0.45,1132,59.9576
09.350,0.475,1142,60.4873
09.350,0.4,1121,59.375
09.350,0.5,1142,60.4873
09.400,0.025,805,42.6377
09.400,0.05,851,45.0742
09.400,0.075,851,45.0742
09.400,0.125,851,45.0742
09.400,0.150,851,45.0742
09.400,0.175,897,47.5106
09.400,0.1,851,45.0742
09.400,0.225,944,50
09.400,0.25,959,50.7945
09.400,0.275,986,52.2246
09.400,0.2,898,47.5636
09.400,0.325,1088,57.6271
09.400,0.350,1117,59.1631
09.400,0.375,1119,59.2691
09.400,0.3,1081,57.2564
09.400,0.425,1129,59.7987
09.400,0.45,1129,59.7987
09.400,0.475,1129,59.7987
09.400,0.4,1127,59.6928
09.400,0.5,1129,59.7987
09.450,0.025,806,42.6907
09.450,0.05,862,45.6568
09.450,0.075,862,45.6568
09.450,0.125,862,45.6568
09.450,0.150,862,45.6568
09.450,0.175,862,45.6568
09.450,0.1,862,45.6568
09.450,0.225,889,47.0869
09.450,0.25,1040,55.0847
09.450,0.275,1049,55.5614
09.450,0.2,889,47.0869
09.450,0.325,1085,57.4682
09.450,0.350,1085,57.4682
09.450,0.375,1094,57.9449
09.450,0.3,1080,57.2034
09.450,0.425,1111,58.8453
09.450,0.45,1116,59.1102
09.450,0.475,1119,59.2691
09.450,0.4,1106,58.5805
09.450,0.5,1119,59.2691
09.500,0.025,821,43.4852
09.500,0.05,821,43.4852
09.500,0.075,867,45.9216
09.500,0.125,868,45.9746
09.500,0.150,870,46.0805
09.500,0.175,870,46.0805
09.500,0.1,868,45.9746
09.500,0.225,924,48.9407
09.500,0.25,945,50.053
09.500,0.275,961,50.9004
09.500,0.2,871,46.1335
09.500,0.325,1046,55.4025
09.500,0.350,1061,56.197
09.500,0.375,1080,57.2034
09.500,0.3,968,51.2712
09.500,0.425,1096,58.0508
09.500,0.45,1111,58.8453
09.500,0.475,1113,58.9513
09.500,0.4,1088,57.6271
09.500,0.5,1113,58.9513
09.550,0.025,819,43.3792
09.550,0.05,819,43.3792
09.550,0.075,863,45.7097
09.550,0.125,869,46.0275
09.550,0.150,887,46.9809
09.550,0.175,887,46.9809
09.550,0.1,863,45.7097
09.550,0.225,888,47.0339
09.550,0.25,888,47.0339
09.550,0.275,890,47.1398
09.550,0.2,888,47.0339
09.550,0.325,1083,57.3623
09.550,0.350,1088,57.6271
09.550,0.375,1109,58.7394
09.550,0.3,1060,56.1441
09.550,0.425,1117,59.1631
09.550,0.45,1137,60.2225
09.550,0.475,1137,60.2225
09.550,0.4,1117,59.1631
09.550,0.5,1137,60.2225
09.600,0.025,804,42.5847
09.600,0.05,855,45.286
09.600,0.075,855,45.286
09.600,0.125,855,45.286
09.600,0.150,857,45.3919
09.600,0.175,857,45.3919
09.600,0.1,855,45.286
09.600,0.225,858,45.4449
09.600,0.25,912,48.3051
09.600,0.275,961,50.9004
09.600,0.2,858,45.4449
09.600,0.325,1059,56.0911
09.600,0.350,1068,56.5678
09.600,0.375,1075,56.9386
09.600,0.3,1056,55.9322
09.600,0.425,1103,58.4216
09.600,0.45,1116,59.1102
09.600,0.475,1121,59.375
09.600,0.4,1093,57.8919
09.600,0.5,1121,59.375
09.650,0.025,814,43.1144
09.650,0.05,814,43.1144
09.650,0.075,814,43.1144
09.650,0.125,855,45.286
09.650,0.150,855,45.286
09.650,0.175,858,45.4449
09.650,0.1,855,45.286
09.650,0.225,917,48.5699
09.650,0.25,921,48.7818
09.650,0.275,1061,56.197
09.650,0.2,861,45.6038
09.650,0.325,1098,58.1568
09.650,0.350,1112,58.8983
09.650,0.375,1118,59.2161
09.650,0.3,1080,57.2034
09.650,0.425,1122,59.428
09.650,0.45,1127,59.6928
09.650,0.475,1133,60.0106
09.650,0.4,1118,59.2161
09.650,0.5,1133,60.0106
09.700,0.025,811,42.9555
09.700,0.05,811,42.9555
09.700,0.075,858,45.4449
09.700,0.125,858,45.4449
09.700,0.150,860,45.5508
09.700,0.175,860,45.5508
09.700,0.1,858,45.4449
09.700,0.225,919,48.6758
09.700,0.25,922,48.8347
09.700,0.275,922,48.8347
09.700,0.2,860,45.5508
09.700,0.325,1038,54.9788
09.700,0.350,1058,56.0381
09.700,0.375,1063,56.303
09.700,0.3,1026,54.3432
09.700,0.425,1098,58.1568
09.700,0.45,1105,58.5275
09.700,0.475,1119,59.2691
09.700,0.4,1088,57.6271
09.700,0.5,1119,59.2691
09.750,0.025,818,43.3263
09.750,0.05,818,43.3263
09.750,0.075,865,45.8157
09.750,0.125,865,45.8157
09.750,0.150,865,45.8157
09.750,0.175,877,46.4513
09.750,0.1,865,45.8157
09.750,0.225,929,49.2055
09.750,0.25,942,49.8941
09.750,0.275,944,50
09.750,0.2,926,49.0466
09.750,0.325,1079,57.1504
09.750,0.350,1082,57.3093
09.750,0.375,1116,59.1102
09.750,0.3,955,50.5826
09.750,0.425,1128,59.7458
09.750,0.45,1133,60.0106
09.750,0.475,1133,60.0106
09.750,0.4,1116,59.1102
09.750,0.5,1140,60.3814
09.800,0.025,808,42.7966
09.800,0.05,808,42.7966
09.800,0.075,849,44.9682
09.800,0.125,858,45.4449
09.800,0.150,858,45.4449
09.800,0.175,858,45.4449
09.800,0.1,858,45.4449
09.800,0.225,925,48.9936
09.800,0.25,915,48.464
09.800,0.275,915,48.464
09.800,0.2,858,45.4449
09.800,0.325,969,51.3242
09.800,0.350,1041,55.1377
09.800,0.375,1066,56.4619
09.800,0.3,966,51.1653
09.800,0.425,1098,58.1568
09.800,0.45,1102,58.3686
09.800,0.475,1102,58.3686
09.800,0.4,1096,58.0508
09.800,0.5,1102,58.3686
09.850,0.025,802,42.4788
09.850,0.05,851,45.0742
09.850,0.075,851,45.0742
09.850,0.125,851,45.0742
09.850,0.150,851,45.0742
09.850,0.175,899,47.6165
09.850,0.1,851,45.0742
09.850,0.225,899,47.6165
09.850,0.25,922,48.8347
09.850,0.275,1052,55.7203
09.850,0.2,900,47.6695
09.850,0.325,1080,57.2034
09.850,0.350,1092,57.839
09.850,0.375,1099,58.2097
09.850,0.3,1062,56.25
09.850,0.425,1112,58.8983
09.850,0.45,1123,59.4809
09.850,0.475,1133,60.0106
09.850,0.4,1110,58.7924
09.850,0.5,1133,60.0106
09.900,0.025,812,43.0085
09.900,0.05,864,45.7627
09.900,0.075,865,45.8157
09.900,0.125,865,45.8157
09.900,0.150,867,45.9216
09.900,0.175,867,45.9216
09.900,0.1,865,45.8157
09.900,0.225,913,48.3581
09.900,0.25,920,48.7288
09.900,0.275,1037,54.9258
09.900,0.2,868,45.9746
09.900,0.325,1089,57.6801
09.900,0.350,1095,57.9979
09.900,0.375,1098,58.1568
09.900,0.3,1064,56.3559
09.900,0.425,1123,59.4809
09.900,0.45,1131,59.9047
09.900,0.475,1131,59.9047
09.900,0.4,1110,58.7924
09.900,0.5,1139,60.3284
09.950,0.025,798,42.2669
09.950,0.05,852,45.1271
09.950,0.075,852,45.1271
09.950,0.125,852,45.1271
09.950,0.150,898,47.5636
09.950,0.175,901,47.7225
09.950,0.1,852,45.1271
09.950,0.225,925,48.9936
09.950,0.25,925,48.9936
09.950,0.275,1035,54.8199
09.950,0.2,925,48.9936
09.950,0.325,1052,55.7203
09.950,0.350,1095,57.9979
09.950,0.375,1105,58.5275
09.950,0.3,1044,55.2966
09.950,0.425,1111,58.8453
09.950,0.45,1118,59.2161
09.950,0.475,1118,59.2161
09.950,0.4,1107,58.6335
09.950,0.5,1124,59.5339
10.000,0.025,813,43.0614
10.000,0.05,864,45.7627
10.000,0.075,864,45.7627
10.000,0.125,864,45.7627
10.000,0.150,878,46.5042
10.000,0.175,902,47.7754
10.000,0.1,864,45.7627
10.000,0.225,926,49.0466
10.000,0.25,918,48.6229
10.000,0.275,940,49.7881
10.000,0.2,903,47.8284
10.000,0.325,1051,55.6674
10.000,0.350,1077,57.0445
10.000,0.375,1088,57.6271
10.000,0.3,1046,55.4025
10.000,0.425,1117,59.1631
10.000,0.45,1125,59.5869
10.000,0.475,1129,59.7987
10.000,0.4,1100,58.2627
10.000,0.5,1129,59.7987
10.050,0.025,808,42.7966
10.050,0.05,855,45.286
10.050,0.075,855,45.286
10.050,0.125,859,45.4979
10.050,0.150,876,46.3983
10.050,0.175,876,46.3983
10.050,0.1,859,45.4979
10.050,0.225,935,49.5233
10.050,0.25,935,49.5233
10.050,0.275,971,51.4301
10.050,0.2,895,47.4047
10.050,0.325,1083,57.3623
10.050,0.350,1100,58.2627
10.050,0.375,1119,59.2691
10.050,0.3,1075,56.9386
10.050,0.425,1135,60.1165
10.050,0.45,1142,60.4873
10.050,0.475,1144,60.5932
10.050,0.4,1131,59.9047
10.050,0.5,1144,60.5932
10.100,0.025,805,42.6377
10.100,0.05,805,42.6377
10.100,0.075,853,45.1801
10.100,0.125,853,45.1801
10.100,0.150,855,45.286
10.100,0.175,855,45.286
10.100,0.1,853,45.1801
10.100,0.225,862,45.6568
10.100,0.25,862,45.6568
10.100,0.275,928,49.1525
10.100,0.2,856,45.339
10.100,0.325,1048,55.5085
10.100,0.350,1058,56.0381
10.100,0.375,1089,57.6801
10.100,0.3,1026,54.3432
10.100,0.425,1092,57.839
10.100,0.45,1113,58.9513
10.100,0.475,1117,59.1631
10.100,0.4,1085,57.4682
10.100,0.5,1117,59.1631
10.150,0.025,798,42.2669
10.150,0.05,846,44.8093
10.150,0.075,851,45.0742
10.150,0.125,851,45.0742
10.150,0.150,851,45.0742
10.150,0.175,851,45.0742
10.150,0.1,851,45.0742
10.150,0.225,901,47.7225
10.150,0.25,944,50
10.150,0.275,946,50.1059
10.150,0.2,851,45.0742
10.150,0.325,1075,56.9386
10.150,0.350,1085,57.4682
10.150,0.375,1085,57.4682
10.150,0.3,1066,56.4619
10.150,0.425,1114,59.0042
10.150,0.45,1118,59.2161
10.150,0.475,1121,59.375
10.150,0.4,1112,58.8983
10.150,0.5,1121,59.375
10.200,0.025,806,42.6907
10.200,0.05,857,45.3919
10.200,0.075,857,45.3919
10.200,0.125,857,45.3919
10.200,0.150,897,47.5106
10.200,0.175,905,47.9343
10.200,0.1,857,45.3919
10.200,0.225,906,47.9873
10.200,0.25,929,49.2055
10.200,0.275,935,49.5233
10.200,0.2,906,47.9873
10.200,0.325,1047,55.4555
10.200,0.350,1053,55.7733
10.200,0.375,1089,57.6801
10.200,0.3,1045,55.3496
10.200,0.425,1102,58.3686
10.200,0.45,1109,58.7394
10.200,0.475,1112,58.8983
10.200,0.4,1096,58.0508
10.200,0.5,1121,59.375
10.250,0.025,799,42.3199
10.250,0.05,799,42.3199
10.250,0.075,840,44.4915
10.250,0.125,846,44.8093
10.250,0.150,847,44.8623
10.250,0.175,871,46.1335
10.250,0.1,840,44.4915
10.250,0.225,908,48.0932
10.250,0.25,908,48.0932
10.250,0.275,941,49.8411
10.250,0.2,907,48.0403
10.250,0.325,1056,55.9322
10.250,0.350,1074,56.8856
10.250,0.375,1074,56.8856
10.250,0.3,1040,55.0847
10.250,0.425,1086,57.5212
10.250,0.45,1104,58.4746
10.250,0.475,1104,58.4746
10.250,0.4,1084,57.4153
10.250,0.5,1104,58.4746
10.300,0.025,796,42.161
10.300,0.05,846,44.8093
10.300,0.075,847,44.8623
10.300,0.125,847,44.8623
10.300,0.150,847,44.8623
10.300,0.175,847,44.8623
10.300,0.1,847,44.8623
10.300,0.225,848,44.9153
10.300,0.25,890,47.1398
10.300,0.275,991,52.4894
10.300,0.2,848,44.9153
10.300,0.325,1018,53.9195
10.300,0.350,1059,56.0911
10.300,0.375,1061,56.197
10.300,0.3,1009,53.4428
10.300,0.425,1079,57.1504
10.300,0.45,1081,57.2564
10.300,0.475,1084,57.4153
10.300,0.4,1064,56.3559
10.300,0.5,1084,57.4153
10.350,0.025,811,42.9555
10.350,0.05,859,45.4979
10.350,0.075,863,45.7097
10.350,0.125,863,45.7097
10.350,0.150,863,45.7097
10.350,0.175,863,45.7097
10.350,0.1,863,45.7097
10.350,0.225,944,50
10.350,0.25,954,50.5297
10.350,0.275,979,51.8538
10.350,0.2,864,45.7627
10.350,0.325,1046,55.4025
10.350,0.350,1093,57.8919
10.350,0.375,1100,58.2627
10.350,0.3,983,52.0657
10.350,0.425,1111,58.8453
10.350,0.45,1120,59.322
10.350,0.475,1129,59.7987
10.350,0.4,1104,58.4746
10.350,0.5,1129,59.7987
10.400,0.025,797,42.214
10.400,0.05,849,44.9682
10.400,0.075,849,44.9682
10.400,0.125,849,44.9682
10.400,0.150,849,44.9682
10.400,0.175,852,45.1271
10.400,0.1,849,44.9682
10.400,0.225,938,49.6822
10.400,0.25,944,50
10.400,0.275,947,50.1589
10.400,0.2,865,45.8157
10.400,0.325,1073,56.8326
10.400,0.350,1082,57.3093
10.400,0.375,1106,58.5805
10.400,0.3,957,50.6886
10.400,0.425,1117,59.1631
10.400,0.45,1124,59.5339
10.400,0.475,1127,59.6928
10.400,0.4,1117,59.1631
10.400,0.5,1127,59.6928
10.450,0.025,804,42.5847
10.450,0.05,851,45.0742
10.450,0.075,852,45.1271
10.450,0.125,854,45.2331
10.450,0.150,856,45.339
10.450,0.175,856,45.339
10.450,0.1,854,45.2331
10.450,0.225,919,48.6758
10.450,0.25,1049,55.5614
10.450,0.275,1072,56.7797
10.450,0.2,912,48.3051
10.450,0.325,1080,57.2034
10.450,0.350,1095,57.9979
10.450,0.375,1109,58.7394
10.450,0.3,1077,57.0445
10.450,0.425,1126,59.6398
10.450,0.45,1140,60.3814
10.450,0.475,1140,60.3814
10.450,0.4,1122,59.428
10.450,0.5,1140,60.3814
10.500,0.025,805,42.6377
10.500,0.05,854,45.2331
10.500,0.075,854,45.2331
10.500,0.125,854,45.2331
10.500,0.150,854,45.2331
10.500,0.175,857,45.3919
10.500,0.1,854,45.2331
10.500,0.225,896,47.4576
10.500,0.25,919,48.6758
10.500,0.275,925,48.9936
10.500,0.2,858,45.4449
10.500,0.325,1060,56.1441
10.500,0.350,1076,56.9915
10.500,0.375,1090,57.7331
10.500,0.3,1050,55.6144
10.500,0.425,1107,58.6335
10.500,0.45,1111,58.8453
10.500,0.475,1114,59.0042
10.500,0.4,1098,58.1568
10.500,0.5,1118,59.2161
10.550,0.025,801,42.4258
10.550,0.05,801,42.4258
10.550,0.075,845,44.7564
10.550,0.125,845,44.7564
10.550,0.150,845,44.7564
10.550,0.175,888,47.0339
10.550,0.1,845,44.7564
10.550,0.225,911,48.2521
10.550,0.25,999,52.9131
10.550,0.275,1013,53.6547
10.550,0.2,904,47.8814
10.550,0.325,1070,56.6737
10.550,0.350,1099,58.2097
10.550,0.375,1100,58.2627
10.550,0.3,1063,56.303
10.550,0.425,1114,59.0042
10.550,0.45,1121,59.375
10.550,0.475,1124,59.5339
10.550,0.4,1108,58.6864
10.550,0.5,1124,59.5339
10.600,0.025,806,42.6907
10.600,0.05,853,45.1801
10.600,0.075,853,45.1801
10.600,0.125,853,45.1801
10.600,0.150,853,45.1801
10.600,0.175,858,45.4449
10.600,0.1,853,45.1801
10.600,0.225,931,49.3114
10.600,0.25,934,49.4703
10.600,0.275,1027,54.3962
10.600,0.2,858,45.4449
10.600,0.325,1075,56.9386
10.600,0.350,1076,56.9915
10.600,0.375,1095,57.9979
10.600,0.3,1045,55.3496
10.600,0.425,1114,59.0042
10.600,0.45,1114,59.0042
10.600,0.475,1118,59.2161
10.600,0.4,1106,58.5805
10.600,0.5,1118,59.2161
10.650,0.025,801,42.4258
10.650,0.05,848,44.9153
10.650,0.075,849,44.9682
10.650,0.125,849,44.9682
10.650,0.150,849,44.9682
10.650,0.175,849,44.9682
10.650,0.1,849,44.9682
10.650,0.225,942,49.8941
10.650,0.25,946,50.1059
10.650,0.275,946,50.1059
10.650,0.2,931,49.3114
10.650,0.325,1039,55.0318
10.650,0.350,1046,55.4025
10.650,0.375,1058,56.0381
10.650,0.3,1017,53.8665
10.650,0.425,1107,58.6335
10.650,0.45,1107,58.6335
10.650,0.475,1107,58.6335
10.650,0.4,1082,57.3093
10.650,0.5,1107,58.6335
10.700,0.025,813,43.0614
10.700,0.05,860,45.5508
10.700,0.075,882,46.7161
10.700,0.125,889,47.0869
10.700,0.150,891,47.1928
10.700,0.175,893,47.2987
10.700,0.1,889,47.0869
10.700,0.225,895,47.4047
10.700,0.25,893,47.2987
10.700,0.275,1014,53.7076
10.700,0.2,895,47.4047
10.700,0.325,1065,56.4089
10.700,0.350,1076,56.9915
10.700,0.375,1097,58.1038
10.700,0.3,1054,55.8263
10.700,0.425,1119,59.2691
10.700,0.45,1119,59.2691
10.700,0.475,1124,59.5339
10.700,0.4,1109,58.7394
10.700,0.5,1124,59.5339
10.750,0.025,804,42.5847
10.750,0.05,858,45.4449
10.750,0.075,858,45.4449
10.750,0.125,858,45.4449
10.750,0.150,858,45.4449
10.750,0.175,858,45.4449
10.750,0.1,858,45.4449
10.750,0.225,914,48.411
10.750,0.25,915,48.464
10.750,0.275,915,48.464
10.750,0.2,859,45.4979
10.750,0.325,1065,56.4089
10.750,0.350,1069,56.6208
10.750,0.375,1073,56.8326
10.750,0.3,1048,55.5085
10.750,0.425,1111,58.8453
10.750,0.45,1120,59.322
10.750,0.475,1126,59.6398
10.750,0.4,1108,58.6864
10.750,0.5,1132,59.9576
10.800,0.025,789,41.7903
10.800,0.05,838,44.3856
10.800,0.075,859,45.4979
10.800,0.125,860,45.5508
10.800,0.150,862,45.6568
10.800,0.175,914,48.411
10.800,0.1,859,45.4979
10.800,0.225,922,48.8347
10.800,0.25,927,49.0996
10.800,0.275,931,49.3114
10.800,0.2,920,48.7288
10.800,0.325,1030,54.5551
10.800,0.350,1045,55.3496
10.800,0.375,1045,55.3496
10.800,0.3,1012,53.6017
10.800,0.425,1086,57.5212
10.800,0.45,1090,57.7331
10.800,0.475,1097,58.1038
10.800,0.4,1061,56.197
10.800,0.5,1104,58.4746
10.850,0.025,797,42.214
10.850,0.05,845,44.7564
10.850,0.075,847,44.8623
10.850,0.125,847,44.8623
10.850,0.150,849,44.9682
10.850,0.175,849,44.9682
10.850,0.1,847,44.8623
10.850,0.225,890,47.1398
10.850,0.25,934,49.4703
10.850,0.275,944,50
10.850,0.2,890,47.1398
10.850,0.325,1046,55.4025
10.850,0.350,1048,55.5085
10.850,0.375,1053,55.7733
10.850,0.3,1031,54.6081
10.850,0.425,1074,56.8856
10.850,0.45,1090,57.7331
10.850,0.475,1100,58.2627
10.850,0.4,1066,56.4619
10.850,0.5,1100,58.2627
10.900,0.025,803,42.5318
10.900,0.05,850,45.0212
10.900,0.075,850,45.0212
10.900,0.125,851,45.0742
10.900,0.150,853,45.1801
10.900,0.175,853,45.1801
10.900,0.1,851,45.0742
10.900,0.225,913,48.3581
10.900,0.25,915,48.464
10.900,0.275,918,48.6229
10.900,0.2,854,45.2331
10.900,0.325,1061,56.197
10.900,0.350,1092,57.839
10.900,0.375,1101,58.3157
10.900,0.3,1032,54.661
10.900,0.425,1100,58.2627
10.900,0.45,1104,58.4746
10.900,0.475,1106,58.5805
10.900,0.4,1101,58.3157
10.900,0.5,1117,59.1631
10.950,0.025,792,41.9492
10.950,0.05,842,44.5975
10.950,0.075,842,44.5975
10.950,0.125,854,45.2331
10.950,0.150,842,44.5975
10.950,0.175,886,46.928
10.950,0.1,842,44.5975
10.950,0.225,913,48.3581
10.950,0.25,1019,53.9725
10.950,0.275,1023,54.1843
10.950,0.2,909,48.1462
10.950,0.325,1067,56.5148
10.950,0.350,1095,57.9979
10.950,0.375,1095,57.9979
10.950,0.3,1058,56.0381
10.950,0.425,1115,59.0572
10.950,0.45,1121,59.375
10.950,0.475,1123,59.4809
10.950,0.4,1111,58.8453
10.950,0.5,1123,59.4809
11.000,0.025,803,42.5318
11.000,0.05,849,44.9682
11.000,0.075,850,45.0212
11.000,0.125,850,45.0212
11.000,0.150,852,45.1271
11.000,0.175,852,45.1271
11.000,0.1,850,45.0212
11.000,0.225,894,47.3517
11.000,0.25,975,51.6419
11.000,0.275,985,52.1716
11.000,0.2,883,46.7691
11.000,0.325,1056,55.9322
11.000,0.350,1077,57.0445
11.000,0.375,1102,58.3686
11.000,0.3,1038,54.9788
11.000,0.425,1115,59.0572
11.000,0.45,1126,59.6398
11.000,0.475,1126,59.6398
11.000,0.4,1107,58.6335
11.000,0.5,1126,59.6398
11.050,0.025,806,42.6907
11.050,0.05,853,45.1801
11.050,0.075,858,45.4449
11.050,0.125,858,45.4449
11.050,0.150,858,45.4449
11.050,0.175,871,46.1335
11.050,0.1,858,45.4449
11.050,0.225,872,46.1864
11.050,0.25,942,49.8941
11.050,0.275,1027,54.3962
11.050,0.2,872,46.1864
11.050,0.325,1084,57.4153
11.050,0.350,1085,57.4682
11.050,0.375,1092,57.839
11.050,0.3,1000,52.9661
11.050,0.425,1103,58.4216
11.050,0.45,1115,59.0572
11.050,0.475,1117,59.1631
11.050,0.4,1096,58.0508
11.050,0.5,1119,59.2691
11.100,0.025,786,41.6314
11.100,0.05,838,44.3856
11.100,0.075,838,44.3856
11.100,0.125,838,44.3856
11.100,0.150,840,44.4915
11.100,0.175,891,47.1928
11.100,0.1,838,44.3856
11.100,0.225,907,48.0403
