noise_percentage,confidence_factor,correctly_classified,accuracy
02.050,0.150,930,49.2585
02.050,0.175,930,49.2585
02.050,0.1,928,49.1525
02.050,0.225,985,52.1716
02.050,0.25,984,52.1186
02.050,0.275,1014,53.7076
02.050,0.2,984,52.1186
02.050,0.325,1120,59.322
02.050,0.350,1128,59.7458
02.050,0.375,1146,60.6992
02.050,0.3,1080,57.2034
02.050,0.425,1166,61.7585
02.050,0.45,1172,62.0763
02.050,0.475,1175,62.2352
02.050,0.4,1148,60.8051
02.050,0.5,1175,62.2352
02.100,0.025,877,46.4513
02.100,0.05,930,49.2585
02.100,0.075,930,49.2585
02.100,0.125,930,49.2585
02.100,0.150,932,49.3644
02.100,0.175,932,49.3644
02.100,0.1,930,49.2585
02.100,0.225,986,52.2246
02.100,0.25,986,52.2246
02.100,0.275,1101,58.3157
02.100,0.2,933,49.4174
02.100,0.325,1129,59.7987
02.100,0.350,1141,60.4343
02.100,0.375,1150,60.911
02.100,0.3,1114,59.0042
02.100,0.425,1162,61.5466
02.100,0.45,1168,61.8644
02.100,0.475,1173,62.1292
02.100,0.4,1160,61.4407
02.100,0.5,1178,62.3941
02.150,0.025,871,46.1335
02.150,0.05,924,48.9407
02.150,0.075,924,48.9407
02.150,0.125,924,48.9407
02.150,0.150,926,49.0466
02.150,0.175,926,49.0466
02.150,0.1,924,48.9407
02.150,0.225,993,52.5953
02.150,0.25,993,52.5953
02.150,0.275,1086,57.5212
02.150,0.2,927,49.0996
02.150,0.325,1120,59.322
02.150,0.350,1128,59.7458
02.150,0.375,1148,60.8051
02.150,0.3,1116,59.1102
02.150,0.425,1157,61.2818
02.150,0.45,1166,61.7585
02.150,0.475,1169,61.9174
02.150,0.4,1150,60.911
02.150,0.5,1169,61.9174
02.200,0.025,924,48.9407
02.200,0.05,925,48.9936
02.200,0.075,925,48.9936
02.200,0.125,925,48.9936
02.200,0.150,927,49.0996
02.200,0.175,927,49.0996
02.200,0.1,925,48.9936
02.200,0.225,989,52.3835
02.200,0.25,994,52.6483
02.200,0.275,1101,58.3157
02.200,0.2,988,52.3305
02.200,0.325,1136,60.1695
02.200,0.350,1138,60.2754
02.200,0.375,1141,60.4343
02.200,0.3,1120,59.322
02.200,0.425,1174,62.1822
02.200,0.45,1180,62.5
02.200,0.475,1182,62.6059
02.200,0.4,1166,61.7585
02.200,0.5,1186,62.8178
02.250,0.025,871,46.1335
02.250,0.05,920,48.7288
02.250,0.075,920,48.7288
02.250,0.125,936,49.5763
02.250,0.150,936,49.5763
02.250,0.175,936,49.5763
02.250,0.1,924,48.9407
02.250,0.225,958,50.7415
02.250,0.25,978,51.8008
02.250,0.275,979,51.8538
02.250,0.2,937,49.6292
02.250,0.325,1088,57.6271
02.250,0.350,1094,57.9449
02.250,0.375,1131,59.9047
02.250,0.3,1085,57.4682
02.250,0.425,1159,61.3877
02.250,0.45,1169,61.9174
02.250,0.475,1179,62.447
02.250,0.4,1147,60.7521
02.250,0.5,1179,62.447
02.300,0.025,872,46.1864
02.300,0.05,924,48.9407
02.300,0.075,924,48.9407
02.300,0.125,924,48.9407
02.300,0.150,926,49.0466
02.300,0.175,926,49.0466
02.300,0.1,924,48.9407
02.300,0.225,979,51.8538
02.300,0.25,983,52.0657
02.300,0.275,1068,56.5678
02.300,0.2,958,50.7415
02.300,0.325,1120,59.322
02.300,0.350,1122,59.428
02.300,0.375,1128,59.7458
02.300,0.3,1116,59.1102
02.300,0.425,1157,61.2818
02.300,0.45,1161,61.4936
02.300,0.475,1164,61.6525
02.300,0.4,1146,60.6992
02.300,0.5,1167,61.8114
02.350,0.025,869,46.0275
02.350,0.05,922,48.8347
02.350,0.075,922,48.8347
02.350,0.125,922,48.8347
02.350,0.150,924,48.9407
02.350,0.175,924,48.9407
