noise_percentage,confidence_factor,size_of_the_tree
17.300,0.25,122
17.300,0.275,136
17.300,0.2,95
17.300,0.325,393
17.300,0.350,423
17.300,0.375,522
17.300,0.3,357
17.300,0.425,566
17.300,0.45,612
17.300,0.475,622
17.300,0.4,552
17.300,0.5,622
17.350,0.025,1
17.350,0.05,34
17.350,0.075,34
17.350,0.125,48
17.350,0.150,59
17.350,0.175,59
17.350,0.1,34
17.350,0.225,182
17.350,0.25,210
17.350,0.275,361
17.350,0.2,140
17.350,0.325,502
17.350,0.350,502
17.350,0.375,545
17.350,0.3,398
17.350,0.425,589
17.350,0.45,604
17.350,0.475,615
17.350,0.4,570
17.350,0.5,615
17.400,0.025,1
17.400,0.05,1
17.400,0.075,40
17.400,0.125,43
17.400,0.150,43
17.400,0.175,108
17.400,0.1,43
17.400,0.225,137
17.400,0.25,164
17.400,0.275,307
17.400,0.2,115
17.400,0.325,437
17.400,0.350,437
17.400,0.375,502
17.400,0.3,320
17.400,0.425,556
17.400,0.45,598
17.400,0.475,598
17.400,0.4,536
17.400,0.5,598
17.450,0.025,1
17.450,0.05,34
17.450,0.075,34
17.450,0.125,41
17.450,0.150,41
17.450,0.175,41
17.450,0.1,41
17.450,0.225,165
17.450,0.25,369
17.450,0.275,385
17.450,0.2,41
17.450,0.325,443
17.450,0.350,491
17.450,0.375,528
17.450,0.3,408
17.450,0.425,597
17.450,0.45,658
17.450,0.475,658
17.450,0.4,591
17.450,0.5,679
17.500,0.025,1
17.500,0.05,1
17.500,0.075,1
17.500,0.125,45
17.500,0.150,54
17.500,0.175,54
17.500,0.1,42
17.500,0.225,187
17.500,0.25,187
17.500,0.275,190
17.500,0.2,54
17.500,0.325,424
17.500,0.350,467
17.500,0.375,528
17.500,0.3,416
17.500,0.425,616
17.500,0.45,640
17.500,0.475,647
17.500,0.4,558
17.500,0.5,647
17.550,0.025,1
17.550,0.05,1
17.550,0.075,55
17.550,0.125,55
17.550,0.150,55
17.550,0.175,124
17.550,0.1,55
17.550,0.225,152
17.550,0.25,174
17.550,0.275,168
17.550,0.2,140
17.550,0.325,481
17.550,0.350,562
17.550,0.375,597
17.550,0.3,428
17.550,0.425,625
17.550,0.45,641
17.550,0.475,657
17.550,0.4,603
17.550,0.5,657
17.600,0.025,1
17.600,0.05,1
17.600,0.075,31
17.600,0.125,31
17.600,0.150,31
17.600,0.175,31
17.600,0.1,31
17.600,0.225,31
17.600,0.25,121
17.600,0.275,381
17.600,0.2,31
17.600,0.325,457
17.600,0.350,533
17.600,0.375,539
17.600,0.3,421
17.600,0.425,592
17.600,0.45,613
17.600,0.475,613
17.600,0.4,554
17.600,0.5,613
17.650,0.025,1
17.650,0.05,1
17.650,0.075,43
17.650,0.125,43
17.650,0.150,43
17.650,0.175,43
17.650,0.1,43
17.650,0.225,231
17.650,0.25,251
17.650,0.275,253
17.650,0.2,43
17.650,0.325,413
17.650,0.350,455
17.650,0.375,531
17.650,0.3,383
17.650,0.425,621
17.650,0.45,639
17.650,0.475,639
17.650,0.4,572
17.650,0.5,664
17.700,0.025,1
17.700,0.05,1
17.700,0.075,44
17.700,0.125,44
17.700,0.150,44
17.700,0.175,44
17.700,0.1,44
17.700,0.225,158
17.700,0.25,181
17.700,0.275,396
17.700,0.2,44
17.700,0.325,436
17.700,0.350,442
17.700,0.375,511
17.700,0.3,436
17.700,0.425,591
17.700,0.45,636
17.700,0.475,636
17.700,0.4,567
17.700,0.5,655
17.750,0.025,1
17.750,0.05,28
17.750,0.075,28
17.750,0.125,34
17.750,0.150,41
17.750,0.175,41
17.750,0.1,34
17.750,0.225,96
17.750,0.25,110
17.750,0.275,409
17.750,0.2,94
17.750,0.325,511
17.750,0.350,551
17.750,0.375,557
17.750,0.3,495
17.750,0.425,609
17.750,0.45,630
17.750,0.475,630
17.750,0.4,564
17.750,0.5,630
17.800,0.025,1
17.800,0.05,1
17.800,0.075,1
17.800,0.125,51
17.800,0.150,92
17.800,0.175,92
17.800,0.1,51
17.800,0.225,98
17.800,0.25,193
17.800,0.275,215
17.800,0.2,98
17.800,0.325,458
17.800,0.350,519
17.800,0.375,530
17.800,0.3,381
17.800,0.425,586
17.800,0.45,606
17.800,0.475,606
17.800,0.4,545
17.800,0.5,606
17.850,0.025,1
17.850,0.05,1
17.850,0.075,48
17.850,0.125,48
17.850,0.150,48
17.850,0.175,48
17.850,0.1,48
17.850,0.225,48
17.850,0.25,48
17.850,0.275,352
17.850,0.2,48
17.850,0.325,470
17.850,0.350,484
17.850,0.375,582
17.850,0.3,455
17.850,0.425,697
17.850,0.45,722
17.850,0.475,722
17.850,0.4,632
17.850,0.5,722
17.900,0.025,1
17.900,0.05,1
17.900,0.075,44
17.900,0.125,44
17.900,0.150,47
17.900,0.175,47
17.900,0.1,44
17.900,0.225,154
17.900,0.25,153
17.900,0.275,306
17.900,0.2,47
17.900,0.325,406
17.900,0.350,448
17.900,0.375,448
17.900,0.3,344
17.900,0.425,616
17.900,0.45,641
17.900,0.475,641
17.900,0.4,596
17.900,0.5,641
17.950,0.025,1
17.950,0.05,1
17.950,0.075,42
17.950,0.125,46
17.950,0.150,46
17.950,0.175,59
17.950,0.1,46
17.950,0.225,59
17.950,0.25,200
17.950,0.275,207
17.950,0.2,59
17.950,0.325,513
17.950,0.350,520
17.950,0.375,619
17.950,0.3,461
17.950,0.425,645
17.950,0.45,653
17.950,0.475,663
17.950,0.4,628
17.950,0.5,663
18.000,0.025,1
18.000,0.05,1
18.000,0.075,1
18.000,0.125,40
18.000,0.150,68
18.000,0.175,68
18.000,0.1,37
18.000,0.225,112
18.000,0.25,204
18.000,0.275,247
18.000,0.2,109
18.000,0.325,414
18.000,0.350,436
18.000,0.375,529
18.000,0.3,260
18.000,0.425,600
18.000,0.45,652
18.000,0.475,666
18.000,0.4,564
18.000,0.5,666
18.050,0.025,1
18.050,0.05,35
18.050,0.075,35
18.050,0.125,35
18.050,0.150,35
18.050,0.175,35
18.050,0.1,35
18.050,0.225,99
18.050,0.25,403
18.050,0.275,447
18.050,0.2,70
18.050,0.325,481
18.050,0.350,500
18.050,0.375,500
18.050,0.3,472
18.050,0.425,543
18.050,0.45,590
18.050,0.475,600
18.050,0.4,524
18.050,0.5,621
18.100,0.025,1
18.100,0.05,1
18.100,0.075,38
18.100,0.125,38
18.100,0.150,51
18.100,0.175,51
18.100,0.1,38
18.100,0.225,83
18.100,0.25,207
18.100,0.275,218
18.100,0.2,55
18.100,0.325,246
18.100,0.350,577
18.100,0.375,592
18.100,0.3,222
18.100,0.425,630
18.100,0.45,646
18.100,0.475,692
18.100,0.4,604
18.100,0.5,692
18.150,0.025,1
18.150,0.05,35
18.150,0.075,43
18.150,0.125,43
18.150,0.150,43
18.150,0.175,83
18.150,0.1,43
18.150,0.225,203
18.150,0.25,218
18.150,0.275,341
18.150,0.2,96
18.150,0.325,420
18.150,0.350,535
18.150,0.375,535
18.150,0.3,413
18.150,0.425,540
18.150,0.45,540
18.150,0.475,567
18.150,0.4,535
18.150,0.5,567
18.200,0.025,1
18.200,0.05,40
18.200,0.075,40
18.200,0.125,43
18.200,0.150,46
18.200,0.175,46
18.200,0.1,40
18.200,0.225,194
18.200,0.25,208
18.200,0.275,382
18.200,0.2,183
18.200,0.325,396
18.200,0.350,436
18.200,0.375,471
18.200,0.3,396
18.200,0.425,674
18.200,0.45,686
18.200,0.475,701
18.200,0.4,553
18.200,0.5,701
18.250,0.025,1
18.250,0.05,24
18.250,0.075,27
18.250,0.125,39
18.250,0.150,39
18.250,0.175,39
18.250,0.1,33
18.250,0.225,178
18.250,0.25,233
18.250,0.275,246
18.250,0.2,99
18.250,0.325,417
18.250,0.350,531
18.250,0.375,545
18.250,0.3,400
18.250,0.425,609
18.250,0.45,609
18.250,0.475,609
18.250,0.4,593
18.250,0.5,609
18.300,0.025,1
18.300,0.05,1
18.300,0.075,56
18.300,0.125,56
18.300,0.150,56
18.300,0.175,56
18.300,0.1,56
18.300,0.225,195
18.300,0.25,200
18.300,0.275,262
18.300,0.2,173
18.300,0.325,510
18.300,0.350,535
18.300,0.375,565
18.300,0.3,468
18.300,0.425,612
18.300,0.45,659
18.300,0.475,659
18.300,0.4,597
18.300,0.5,665
18.350,0.025,1
18.350,0.05,1
18.350,0.075,1
18.350,0.125,43
18.350,0.150,43
18.350,0.175,43
18.350,0.1,40
18.350,0.225,148
18.350,0.25,222
18.350,0.275,372
18.350,0.2,140
18.350,0.325,503
18.350,0.350,511
18.350,0.375,524
18.350,0.3,454
18.350,0.425,591
18.350,0.45,621
18.350,0.475,621
18.350,0.4,562
18.350,0.5,621
18.400,0.025,1
18.400,0.05,1
18.400,0.075,1
18.400,0.125,25
18.400,0.150,64
18.400,0.175,64
18.400,0.1,25
18.400,0.225,66
18.400,0.25,148
18.400,0.275,400
18.400,0.2,66
18.400,0.325,507
18.400,0.350,589
18.400,0.375,627
18.400,0.3,442
18.400,0.425,685
18.400,0.45,692
18.400,0.475,699
18.400,0.4,627
18.400,0.5,699
18.450,0.025,1
18.450,0.05,1
18.450,0.075,48
18.450,0.125,48
18.450,0.150,51
18.450,0.175,51
18.450,0.1,48
18.450,0.225,237
18.450,0.25,405
18.450,0.275,426
18.450,0.2,51
18.450,0.325,496
18.450,0.350,608
18.450,0.375,617
18.450,0.3,474
18.450,0.425,683
18.450,0.45,732
18.450,0.475,732
18.450,0.4,662
18.450,0.5,732
18.500,0.025,1
18.500,0.05,1
18.500,0.075,31
18.500,0.125,38
18.500,0.150,38
18.500,0.175,38
18.500,0.1,38
18.500,0.225,58
18.500,0.25,327
18.500,0.275,332
18.500,0.2,58
18.500,0.325,335
18.500,0.350,447
18.500,0.375,499
18.500,0.3,335
18.500,0.425,553
18.500,0.45,553
18.500,0.475,559
18.500,0.4,528
18.500,0.5,593
18.550,0.025,1
18.550,0.05,1
18.550,0.075,38
18.550,0.125,40
18.550,0.150,83
18.550,0.175,108
18.550,0.1,40
18.550,0.225,152
18.550,0.25,156
18.550,0.275,211
18.550,0.2,112
18.550,0.325,468
18.550,0.350,510
18.550,0.375,554
18.550,0.3,452
18.550,0.425,581
18.550,0.45,600
18.550,0.475,617
18.550,0.4,568
18.550,0.5,617
18.600,0.025,1
18.600,0.05,1
18.600,0.075,1
18.600,0.125,53
18.600,0.150,53
18.600,0.175,77
18.600,0.1,25
18.600,0.225,314
18.600,0.25,329
18.600,0.275,339
18.600,0.2,112
18.600,0.325,387
18.600,0.350,415
18.600,0.375,517
18.600,0.3,361
18.600,0.425,583
18.600,0.45,621
18.600,0.475,621
18.600,0.4,540
18.600,0.5,645
18.650,0.025,1
18.650,0.05,1
18.650,0.075,1
18.650,0.125,96
18.650,0.150,96
18.650,0.175,96
18.650,0.1,1
18.650,0.225,233
18.650,0.25,221
18.650,0.275,221
18.650,0.2,210
18.650,0.325,505
18.650,0.350,563
18.650,0.375,563
18.650,0.3,474
18.650,0.425,687
18.650,0.45,708
18.650,0.475,708
18.650,0.4,645
18.650,0.5,708
18.700,0.025,1
18.700,0.05,1
18.700,0.075,45
18.700,0.125,48
18.700,0.150,48
18.700,0.175,48
18.700,0.1,48
18.700,0.225,48
18.700,0.25,48
18.700,0.275,376
18.700,0.2,48
18.700,0.325,432
18.700,0.350,461
18.700,0.375,498
18.700,0.3,429
18.700,0.425,548
18.700,0.45,594
18.700,0.475,628
18.700,0.4,525
18.700,0.5,647
18.750,0.025,1
18.750,0.05,1
18.750,0.075,41
18.750,0.125,44
18.750,0.150,56
18.750,0.175,56
18.750,0.1,44
18.750,0.225,134
18.750,0.25,142
18.750,0.275,448
18.750,0.2,149
18.750,0.325,483
18.750,0.350,493
18.750,0.375,542
18.750,0.3,466
18.750,0.425,574
18.750,0.45,617
18.750,0.475,687
18.750,0.4,556
18.750,0.5,687
18.800,0.025,1
18.800,0.05,1
18.800,0.075,1
18.800,0.125,48
18.800,0.150,48
18.800,0.175,105
18.800,0.1,48
18.800,0.225,122
18.800,0.25,132
18.800,0.275,196
18.800,0.2,122
18.800,0.325,555
18.800,0.350,560
18.800,0.375,584
18.800,0.3,509
18.800,0.425,645
18.800,0.45,670
18.800,0.475,681
18.800,0.4,632
18.800,0.5,681
18.850,0.025,1
18.850,0.05,38
18.850,0.075,38
18.850,0.125,53
18.850,0.150,59
18.850,0.175,82
18.850,0.1,53
18.850,0.225,157
18.850,0.25,241
18.850,0.275,326
18.850,0.2,153
18.850,0.325,430
18.850,0.350,483
18.850,0.375,508
18.850,0.3,420
18.850,0.425,668
18.850,0.45,676
18.850,0.475,676
18.850,0.4,623
18.850,0.5,676
18.900,0.025,1
18.900,0.05,1
18.900,0.075,44
18.900,0.125,47
18.900,0.150,93
18.900,0.175,93
18.900,0.1,47
18.900,0.225,99
18.900,0.25,462
18.900,0.275,532
18.900,0.2,93
18.900,0.325,553
18.900,0.350,596
18.900,0.375,607
18.900,0.3,547
18.900,0.425,676
18.900,0.45,676
18.900,0.475,694
18.900,0.4,614
18.900,0.5,694
18.950,0.025,1
18.950,0.05,1
18.950,0.075,1
18.950,0.125,34
18.950,0.150,37
18.950,0.175,120
18.950,0.1,34
18.950,0.225,153
18.950,0.25,207
18.950,0.275,284
18.950,0.2,141
18.950,0.325,457
18.950,0.350,490
18.950,0.375,519
18.950,0.3,312
18.950,0.425,568
18.950,0.45,606
18.950,0.475,642
18.950,0.4,535
18.950,0.5,642
19.000,0.025,1
19.000,0.05,1
19.000,0.075,1
19.000,0.125,104
19.000,0.150,127
19.000,0.175,139
19.000,0.1,1
19.000,0.225,195
19.000,0.25,351
19.000,0.275,419
19.000,0.2,159
19.000,0.325,491
19.000,0.350,523
19.000,0.375,536
19.000,0.3,449
19.000,0.425,624
19.000,0.45,650
19.000,0.475,650
19.000,0.4,582
19.000,0.5,650
19.050,0.025,1
19.050,0.05,1
19.050,0.075,38
19.050,0.125,64
19.050,0.150,64
19.050,0.175,64
19.050,0.1,64
19.050,0.225,183
19.050,0.25,202
19.050,0.275,250
19.050,0.2,150
19.050,0.325,476
19.050,0.350,533
19.050,0.375,523
19.050,0.3,277
19.050,0.425,671
19.050,0.45,683
19.050,0.475,683
19.050,0.4,636
19.050,0.5,683
19.100,0.025,1
19.100,0.05,1
19.100,0.075,1
19.100,0.125,43
19.100,0.150,43
19.100,0.175,43
19.100,0.1,35
19.100,0.225,102
19.100,0.25,114
19.100,0.275,406
19.100,0.2,102
19.100,0.325,520
19.100,0.350,508
19.100,0.375,530
19.100,0.3,499
19.100,0.425,554
19.100,0.45,587
19.100,0.475,618
19.100,0.4,545
19.100,0.5,618
19.150,0.025,1
19.150,0.05,42
19.150,0.075,42
19.150,0.125,48
19.150,0.150,48
19.150,0.175,48
19.150,0.1,48
19.150,0.225,139
19.150,0.25,159
19.150,0.275,186
19.150,0.2,55
19.150,0.325,508
19.150,0.350,517
19.150,0.375,558
19.150,0.3,190
19.150,0.425,627
19.150,0.45,647
19.150,0.475,667
19.150,0.4,614
19.150,0.5,667
19.200,0.025,1
19.200,0.05,1
19.200,0.075,1
19.200,0.125,47
19.200,0.150,47
19.200,0.175,47
19.200,0.1,47
19.200,0.225,47
19.200,0.25,320
19.200,0.275,379
19.200,0.2,47
19.200,0.325,447
19.200,0.350,465
19.200,0.375,506
19.200,0.3,410
19.200,0.425,590
19.200,0.45,630
19.200,0.475,637
19.200,0.4,553
19.200,0.5,654
19.250,0.025,1
19.250,0.05,40
19.250,0.075,40
19.250,0.125,46
19.250,0.150,49
19.250,0.175,100
19.250,0.1,40
19.250,0.225,216
19.250,0.25,287
19.250,0.275,287
19.250,0.2,112
19.250,0.325,466
19.250,0.350,478
19.250,0.375,523
19.250,0.3,406
19.250,0.425,609
19.250,0.45,637
19.250,0.475,637
19.250,0.4,603
19.250,0.5,637
19.300,0.025,1
19.300,0.05,1
19.300,0.075,1
19.300,0.125,41
19.300,0.150,53
19.300,0.175,67
19.300,0.1,1
19.300,0.225,257
19.300,0.25,263
19.300,0.275,270
19.300,0.2,192
19.300,0.325,434
19.300,0.350,545
19.300,0.375,637
19.300,0.3,396
19.300,0.425,651
19.300,0.45,681
19.300,0.475,734
19.300,0.4,644
19.300,0.5,734
19.350,0.025,1
19.350,0.05,1
19.350,0.075,1
19.350,0.125,49
19.350,0.150,53
19.350,0.175,53
19.350,0.1,37
19.350,0.225,137
19.350,0.25,183
19.350,0.275,411
19.350,0.2,131
19.350,0.325,467
19.350,0.350,486
19.350,0.375,582
19.350,0.3,422
19.350,0.425,649
19.350,0.45,655
19.350,0.475,672
19.350,0.4,629
19.350,0.5,681
19.400,0.025,1
19.400,0.05,1
19.400,0.075,30
19.400,0.125,39
19.400,0.150,39
19.400,0.175,39
19.400,0.1,33
19.400,0.225,131
19.400,0.25,131
19.400,0.275,155
19.400,0.2,121
19.400,0.325,404
19.400,0.350,486
19.400,0.375,521
19.400,0.3,345
19.400,0.425,571
19.400,0.45,607
19.400,0.475,621
19.400,0.4,537
19.400,0.5,645
19.450,0.025,1
19.450,0.05,1
19.450,0.075,1
19.450,0.125,44
19.450,0.150,44
19.450,0.175,44
19.450,0.1,1
19.450,0.225,222
19.450,0.25,249
19.450,0.275,261
19.450,0.2,187
19.450,0.325,507
19.450,0.350,540
19.450,0.375,556
19.450,0.3,270
19.450,0.425,632
19.450,0.45,652
19.450,0.475,675
19.450,0.4,600
19.450,0.5,675
19.500,0.025,1
19.500,0.05,23
19.500,0.075,38
19.500,0.125,38
19.500,0.150,38
19.500,0.175,38
19.500,0.1,38
19.500,0.225,174
19.500,0.25,225
19.500,0.275,425
19.500,0.2,163
19.500,0.325,485
19.500,0.350,521
19.500,0.375,613
19.500,0.3,462
19.500,0.425,643
19.500,0.45,662
19.500,0.475,673
19.500,0.4,628
19.500,0.5,673
19.550,0.025,1
19.550,0.05,1
19.550,0.075,42
19.550,0.125,42
19.550,0.150,42
19.550,0.175,42
19.550,0.1,42
19.550,0.225,194
19.550,0.25,256
19.550,0.275,418
19.550,0.2,96
19.550,0.325,503
19.550,0.350,559
19.550,0.375,613
19.550,0.3,425
19.550,0.425,632
19.550,0.45,655
19.550,0.475,663
19.550,0.4,632
19.550,0.5,663
19.600,0.025,1
19.600,0.05,1
19.600,0.075,1
19.600,0.125,40
19.600,0.150,46
19.600,0.175,46
19.600,0.1,40
19.600,0.225,147
19.600,0.25,281
19.600,0.275,304
19.600,0.2,46
19.600,0.325,496
19.600,0.350,496
19.600,0.375,561
19.600,0.3,395
19.600,0.425,644
19.600,0.45,638
19.600,0.475,648
19.600,0.4,563
19.600,0.5,648
19.650,0.025,1
19.650,0.05,1
19.650,0.075,39
19.650,0.125,39
19.650,0.150,39
19.650,0.175,39
19.650,0.1,39
19.650,0.225,39
19.650,0.25,39
19.650,0.275,166
19.650,0.2,39
19.650,0.325,362
19.650,0.350,390
19.650,0.375,556
19.650,0.3,356
19.650,0.425,586
19.650,0.45,622
19.650,0.475,648
19.650,0.4,580
19.650,0.5,648
19.700,0.025,1
19.700,0.05,1
19.700,0.075,25
19.700,0.125,32
19.700,0.150,32
19.700,0.175,32
19.700,0.1,32
19.700,0.225,225
19.700,0.25,250
19.700,0.275,256
19.700,0.2,95
19.700,0.325,447
19.700,0.350,495
19.700,0.375,543
19.700,0.3,357
19.700,0.425,590
19.700,0.45,603
19.700,0.475,614
19.700,0.4,569
19.700,0.5,614
19.750,0.025,1
19.750,0.05,1
19.750,0.075,35
19.750,0.125,38
19.750,0.150,38
19.750,0.175,38
19.750,0.1,35
19.750,0.225,129
19.750,0.25,160
19.750,0.275,339
19.750,0.2,111
19.750,0.325,452
19.750,0.350,490
19.750,0.375,525
19.750,0.3,431
19.750,0.425,591
19.750,0.45,602
19.750,0.475,609
19.750,0.4,572
19.750,0.5,626
19.800,0.025,1
19.800,0.05,1
19.800,0.075,34
19.800,0.125,34
19.800,0.150,37
19.800,0.175,37
19.800,0.1,34
19.800,0.225,195
19.800,0.25,200
19.800,0.275,250
19.800,0.2,149
19.800,0.325,439
19.800,0.350,585
19.800,0.375,590
19.800,0.3,264
19.800,0.425,643
19.800,0.45,662
19.800,0.475,688
19.800,0.4,619
19.800,0.5,688
19.850,0.025,1
19.850,0.05,34
19.850,0.075,34
19.850,0.125,50
19.850,0.150,50
19.850,0.175,50
19.850,0.1,50
19.850,0.225,161
19.850,0.25,188
19.850,0.275,444
19.850,0.2,151
19.850,0.325,480
19.850,0.350,516
19.850,0.375,548
19.850,0.3,461
19.850,0.425,609
19.850,0.45,616
19.850,0.475,616
19.850,0.4,590
19.850,0.5,621
19.900,0.025,1
19.900,0.05,1
19.900,0.075,37
19.900,0.125,37
19.900,0.150,37
19.900,0.175,42
19.900,0.1,37
19.900,0.225,179
19.900,0.25,193
19.900,0.275,198
19.900,0.2,42
19.900,0.325,456
19.900,0.350,513
19.900,0.375,543
19.900,0.3,198
19.900,0.425,691
19.900,0.45,710
19.900,0.475,710
19.900,0.4,584
19.900,0.5,710
19.950,0.025,1
19.950,0.05,1
19.950,0.075,1
19.950,0.125,52
19.950,0.150,52
19.950,0.175,52
19.950,0.1,52
19.950,0.225,109
19.950,0.25,188
19.950,0.275,413
19.950,0.2,109
19.950,0.325,485
19.950,0.350,506
19.950,0.375,569
19.950,0.3,442
19.950,0.425,632
19.950,0.45,663
19.950,0.475,663
19.950,0.4,596
19.950,0.5,681
20.000,0.025,1
20.000,0.05,1
20.000,0.075,53
20.000,0.125,59
20.000,0.150,59
20.000,0.175,64
20.000,0.1,59
20.000,0.225,148
20.000,0.25,148
20.000,0.275,203
20.000,0.2,108
20.000,0.325,431
20.000,0.350,458
20.000,0.375,583
20.000,0.3,420
20.000,0.425,661
20.000,0.45,677
20.000,0.475,677
20.000,0.4,621
20.000,0.5,677
20.050,0.025,1
20.050,0.05,1
20.050,0.075,31
20.050,0.125,31
20.050,0.150,31
20.050,0.175,62
20.050,0.1,31
20.050,0.225,192
20.050,0.25,205
20.050,0.275,205
20.050,0.2,62
20.050,0.325,468
20.050,0.350,523
20.050,0.375,523
20.050,0.3,437
20.050,0.425,563
20.050,0.45,592
20.050,0.475,592
20.050,0.4,528
20.050,0.5,592
20.100,0.025,1
20.100,0.05,31
20.100,0.075,31
20.100,0.125,72
20.100,0.150,72
20.100,0.175,72
20.100,0.1,72
20.100,0.225,156
20.100,0.25,235
20.100,0.275,410
20.100,0.2,89
20.100,0.325,462
20.100,0.350,523
20.100,0.375,564
20.100,0.3,436
20.100,0.425,621
20.100,0.45,621
20.100,0.475,621
20.100,0.4,570
20.100,0.5,621
20.150,0.025,1
20.150,0.05,43
20.150,0.075,46
20.150,0.125,76
20.150,0.150,76
20.150,0.175,76
20.150,0.1,46
20.150,0.225,171
20.150,0.25,191
20.150,0.275,215
20.150,0.2,76
20.150,0.325,429
20.150,0.350,429
20.150,0.375,476
20.150,0.3,409
20.150,0.425,633
20.150,0.45,645
20.150,0.475,657
20.150,0.4,604
20.150,0.5,657
20.200,0.025,1
20.200,0.05,1
20.200,0.075,41
20.200,0.125,48
20.200,0.150,48
20.200,0.175,122
20.200,0.1,48
20.200,0.225,140
20.200,0.25,166
20.200,0.275,429
20.200,0.2,130
20.200,0.325,498
20.200,0.350,521
20.200,0.375,561
20.200,0.3,477
20.200,0.425,636
20.200,0.45,673
20.200,0.475,714
20.200,0.4,611
20.200,0.5,714
20.250,0.025,1
20.250,0.05,31
20.250,0.075,38
20.250,0.125,41
20.250,0.150,41
20.250,0.175,56
20.250,0.1,41
20.250,0.225,56
20.250,0.25,150
20.250,0.275,161
20.250,0.2,56
20.250,0.325,409
20.250,0.350,447
20.250,0.375,548
20.250,0.3,386
20.250,0.425,646
20.250,0.45,674
20.250,0.475,698
20.250,0.4,565
20.250,0.5,698
20.300,0.025,1
20.300,0.05,35
20.300,0.075,41
20.300,0.125,41
20.300,0.150,41
20.300,0.175,89
20.300,0.1,41
20.300,0.225,141
20.300,0.25,152
20.300,0.275,154
20.300,0.2,107
20.300,0.325,419
20.300,0.350,432
20.300,0.375,513
20.300,0.3,263
20.300,0.425,592
20.300,0.45,619
20.300,0.475,637
20.300,0.4,585
20.300,0.5,637
20.350,0.025,1
20.350,0.05,1
20.350,0.075,36
20.350,0.125,36
20.350,0.150,42
20.350,0.175,42
20.350,0.1,36
20.350,0.225,312
20.350,0.25,324
20.350,0.275,345
20.350,0.2,148
20.350,0.325,461
20.350,0.350,486
20.350,0.375,497
20.350,0.3,448
20.350,0.425,593
20.350,0.45,601
20.350,0.475,623
20.350,0.4,541
20.350,0.5,623
20.400,0.025,1
20.400,0.05,1
20.400,0.075,1
20.400,0.125,46
20.400,0.150,46
20.400,0.175,46
20.400,0.1,46
20.400,0.225,168
20.400,0.25,231
20.400,0.275,235
20.400,0.2,150
20.400,0.325,444
20.400,0.350,478
20.400,0.375,480
20.400,0.3,381
20.400,0.425,555
20.400,0.45,633
20.400,0.475,633
20.400,0.4,500
20.400,0.5,633
20.450,0.025,1
20.450,0.05,1
20.450,0.075,41
20.450,0.125,41
20.450,0.150,44
20.450,0.175,44
20.450,0.1,41
20.450,0.225,141
20.450,0.25,269
20.450,0.275,284
20.450,0.2,130
20.450,0.325,506
20.450,0.350,568
20.450,0.375,590
20.450,0.3,425
20.450,0.425,667
20.450,0.45,688
20.450,0.475,711
20.450,0.4,612
20.450,0.5,737
20.500,0.025,1
20.500,0.05,33
20.500,0.075,36
20.500,0.125,36
20.500,0.150,98
20.500,0.175,130
20.500,0.1,36
20.500,0.225,139
20.500,0.25,155
20.500,0.275,329
20.500,0.2,130
20.500,0.325,376
20.500,0.350,508
20.500,0.375,529
20.500,0.3,368
20.500,0.425,606
20.500,0.45,602
20.500,0.475,625
20.500,0.4,565
20.500,0.5,625
20.550,0.025,1
20.550,0.05,1
20.550,0.075,37
20.550,0.125,37
20.550,0.150,37
20.550,0.175,59
20.550,0.1,37
20.550,0.225,202
20.550,0.25,212
20.550,0.275,218
20.550,0.2,59
20.550,0.325,413
20.550,0.350,486
20.550,0.375,539
20.550,0.3,388
20.550,0.425,618
20.550,0.45,646
20.550,0.475,646
20.550,0.4,569
20.550,0.5,646
20.600,0.025,1
20.600,0.05,1
20.600,0.075,1
20.600,0.125,57
20.600,0.150,57
20.600,0.175,57
20.600,0.1,41
20.600,0.225,123
20.600,0.25,156
20.600,0.275,358
20.600,0.2,120
20.600,0.325,425
20.600,0.350,514
20.600,0.375,572
20.600,0.3,377
20.600,0.425,645
20.600,0.45,693
20.600,0.475,700
20.600,0.4,625
20.600,0.5,720
20.650,0.025,1
20.650,0.05,34
20.650,0.075,36
20.650,0.125,38
20.650,0.150,38
20.650,0.175,45
20.650,0.1,38
20.650,0.225,129
20.650,0.25,153
20.650,0.275,376
20.650,0.2,45
20.650,0.325,464
20.650,0.350,490
20.650,0.375,508
20.650,0.3,454
20.650,0.425,568
20.650,0.45,600
20.650,0.475,622
20.650,0.4,529
20.650,0.5,622
20.700,0.025,1
20.700,0.05,1
20.700,0.075,1
20.700,0.125,59
20.700,0.150,59
20.700,0.175,59
20.700,0.1,40
20.700,0.225,63
20.700,0.25,66
20.700,0.275,66
20.700,0.2,63
20.700,0.325,473
20.700,0.350,548
20.700,0.375,575
20.700,0.3,280
20.700,0.425,678
20.700,0.45,684
20.700,0.475,684
20.700,0.4,590
20.700,0.5,684
20.750,0.025,1
20.750,0.05,1
20.750,0.075,38
20.750,0.125,60
20.750,0.150,60
20.750,0.175,153
20.750,0.1,51
20.750,0.225,155
20.750,0.25,158
20.750,0.275,171
20.750,0.2,155
20.750,0.325,454
20.750,0.350,454
20.750,0.375,471
20.750,0.3,210
20.750,0.425,640
20.750,0.45,646
20.750,0.475,646
20.750,0.4,620
20.750,0.5,646
20.800,0.025,1
20.800,0.05,1
20.800,0.075,42
20.800,0.125,47
20.800,0.150,47
